Gene	Sample	Active	FC	Annotation	Conservation	Tun
bHd01678.1	Hdujardini	0.356183333333333	149.003813525264	Other	Conserved	67.9730563333333
bHd01683.1	Hdujardini	169.229866666667	11.7014600298904	Other	Conserved	1981.40666666667
bHd01702.1	Hdujardini	2.36785333333333	3.58853173338232	Other	Conserved	8.85597
bHd01711.1	Hdujardini	2.34417366666667	10.2089308711151	Other	None	24.9524
bHd01716.1	Hdujardini	0	23.5802	Other	Conserved	2.35802
bHd01763.1	Hdujardini	0.0555783333333333	19.1913184140894	Other	Conserved	2.98575333333333
bHd01764.1	Hdujardini	0.130164	19.3261471530445	Other	Conserved	4.44818333333333
bHd01780.1	Hdujardini	1.961682	62.7574022893282	Other	None	129.385806666667
bHd01827.1	Hdujardini	1.13466566666667	23.3929995083689	Other	Conserved	28.8825333333333
bHd01906.1	Hdujardini	0.229943333333333	281.835365668852	Other	Conserved	92.9897
bHd01914.1	Hdujardini	0	234.995	Other	None	23.4995
bHd01929.1	Hdujardini	0.279578	64.4821354240762	Other	Conserved	24.476
bHd01930.1	Hdujardini	0.292405	29.791023729735	Other	Conserved	11.6901466666667
bHd01941.1	Hdujardini	0	433.677666666667	Other	None	43.3677666666667
bHd01962.1	Hdujardini	8.72564	2.26548631789498	Other	Conserved	19.9943666666667
bHd02005.1	Hdujardini	1.16551633333333	8.08106783291879	Other	Conserved	10.2267233333333
bHd02044.1	Hdujardini	0.152228333333333	49.5869747649286	Other	Conserved	12.50724
bHd02045.1	Hdujardini	0.380970333333333	168.172673158636	Other	Conserved	80.8860666666667
bHd02046.1	Hdujardini	0	468.875866666667	Other	Conserved	46.8875866666667
bHd02052.1	Hdujardini	0.357683566666667	26.0106928316631	Other	Conserved	11.9046666666667
bHd02056.1	Hdujardini	1.01226	537.631578947368	Other	Conserved	597.9861
bHd02057.1	Hdujardini	4.35831	43.4441114832003	Other	None	193.687316666667
bHd02058.1	Hdujardini	0.121333333333333	53.9358734939759	Other	Conserved	11.9378066666667
bHd02060.1	Hdujardini	3.38596733333333	237.965406445767	Other	Conserved	829.539633333333
bHd02062.1	Hdujardini	1.79005666666667	116.986774646968	Other	Conserved	221.111633333333
bHd02070.1	Hdujardini	3.43599333333333	4.98857463909246	Other	Conserved	17.6395666666667
bHd02073.1	Hdujardini	0.351610333333333	21.241173253343	Other	Conserved	9.59273333333333
bHd02075.1	Hdujardini	2.24416966666667	290.586716632712	Other	Conserved	681.184566666667
bHd02077.1	Hdujardini	0	182.425533333333	Other	Conserved	18.2425533333333
bHd02078.1	Hdujardini	5.36098433333333	100.863379147825	Other	Conserved	550.813333333333
bHd02093.1	Hdujardini	2.73026666666667	51.2148443020681	Other	Conserved	144.951666666667
bHd02094.1	Hdujardini	6.01950333333333	17.200175831263	Other	Conserved	105.256533333333
bHd02103.1	Hdujardini	12.8555466666667	107.116900251733	Other	Conserved	1387.758
bHd02110.1	Hdujardini	0.962826666666667	65.4586825070253	Other	Conserved	69.5712333333333
bHd02130.1	Hdujardini	1.611576	9.9979356258014	Other	Conserved	17.1122266666667
bHd02132.1	Hdujardini	0	470.490333333333	Other	Conserved	47.0490333333333
bHd02151.1	Hdujardini	47.9137333333333	4.1010280391999	Other	Conserved	196.905666666667
bHd02158.1	Hdujardini	0	54.7777666666667	Other	Conserved	5.47777666666667
bHd02208.1	Hdujardini	0.664297666666667	7.19983444495666	Other	Conserved	5.50281666666667
bHd02213.1	Hdujardini	0.193905	274.024940031643	Other	Conserved	80.5373
bHd02214.1	Hdujardini	0.0663778333333333	32.4026137295934	Other	Conserved	5.39107666666667
bHd02215.1	Hdujardini	0	79.1919333333333	Other	Conserved	7.91919333333333
bHd02216.1	Hdujardini	0	56.6026333333333	Other	Conserved	5.66026333333333
bHd02236.1	Hdujardini	0.190354266666667	8.94131858231117	Other	Conserved	2.59615
bHd02240.1	Hdujardini	0	30.0820333333333	Other	None	3.00820333333333
bHd02257.1	Hdujardini	1.31416666666667	10.587224513848	Other	None	14.9721
bHd02336.1	Hdujardini	47.2754666666667	3.87464960767317	Other	Conserved	183.563333333333
bHd02366.1	Hdujardini	0	54.2499333333333	Other	Conserved	5.42499333333333
bHd02367.1	Hdujardini	0.0368253333333333	27.7444722712168	Other	Conserved	3.79614666666667
bHd02368.1	Hdujardini	63.9751333333333	56.7293916412711	Other	None	3634.94333333333
bHd02371.1	Hdujardini	2.081892	51.6923538531391	Other	Conserved	112.787133333333
bHd02385.1	Hdujardini	5.29958666666667	4.40378152401789	Other	Conserved	23.7786
bHd02429.1	Hdujardini	0.916466666666667	8.18726634747819	Other	Conserved	8.32208333333333
bHd02430.1	Hdujardini	0.840954	7.41877215393455	Other	Conserved	6.98072333333333
bHd02439.1	Hdujardini	6.55365666666667	43.0580778389026	Other	Conserved	286.493666666667
bHd02443.1	Hdujardini	4.14286333333333	5.0157480129378	Other	None	21.2811333333333
bHd02448.1	Hdujardini	5.41971333333333	28.7974496260072	Other	Conserved	158.953666666667
bHd02481.1	Hdujardini	0.125284333333333	222.320682160174	Other	Conserved	50.0853666666667
bHd02487.1	Hdujardini	0.099091	294.730048068471	Other	Conserved	58.6781
bHd02490.1	Hdujardini	0.709876666666667	58.5443462584838	Other	Conserved	47.4137
bHd02492.1	Hdujardini	0.538266666666667	11.9615886776687	Other	Conserved	7.63468333333333
bHd02495.1	Hdujardini	1.99029666666667	20.381636418435	Other	Conserved	42.6036666666667
bHd02503.1	Hdujardini	0.301199	796.143210725849	Other	Conserved	319.41186
bHd02505.1	Hdujardini	0	53.9316833333333	Other	None	5.39316833333333
bHd02517.1	Hdujardini	0.30868	162.676584777006	Other	Conserved	66.4826666666667
bHd02521.1	Hdujardini	0.894903566666667	23.1853291509961	Other	Conserved	23.0671666666667
bHd02522.1	Hdujardini	1.62084433333333	9.76875111500498	Other	Conserved	16.8105
bHd02531.1	Hdujardini	55.2100333333333	3.49732809176876	Other	Conserved	193.437333333333
bHd02536.1	Hdujardini	12.8974133333333	3.08358534929001	Other	Conserved	40.0786333333333
bHd02550.1	Hdujardini	0	35.8624	Other	Conserved	3.58624
bHd02563.1	Hdujardini	0.516118	388.683661246709	Other	Conserved	239.475
bHd02565.1	Hdujardini	0.0388653333333333	129.912193107951	Other	Conserved	18.0403
bHd02566.1	Hdujardini	0.214306333333333	20.9872003851868	Other	Conserved	6.59641
bHd02571.1	Hdujardini	10.6022766666667	2.10901854838986	Other	Conserved	22.5713
bHd02670.1	Hdujardini	0.000258355666666667	24.593960110397	Other	Conserved	2.46575
bHd02673.1	Hdujardini	0.0979296666666667	98.4145883470391	Other	Conserved	19.4791666666667
bHd02674.1	Hdujardini	1.53186466666667	11.916960434219	Other	Conserved	19.4468666666667
bHd02703.1	Hdujardini	0.281744666666667	17.6929692971044	Other	Conserved	6.75419666666667
bHd02723.1	Hdujardini	9.59518666666667	2.77142334546765	Other	Conserved	26.8694666666667
bHd02728.1	Hdujardini	0.259000666666667	208.597477070609	Other	Conserved	74.8866333333333
bHd02742.1	Hdujardini	1.05716	6.08083583946904	Other	None	7.0365
bHd02746.1	Hdujardini	0.764153	5.13359324101172	Other	None	4.43621
bHd02757.1	Hdujardini	1.55345	461.774269960789	Other	None	763.520666666667
bHd02760.1	Hdujardini	0.245509333333333	18.6157730423105	Other	Conserved	6.43192333333333
bHd02761.1	Hdujardini	11.9105666666667	2.43693469916768	Other	Conserved	29.2689666666667
bHd02772.1	Hdujardini	0.084509	24.3740775066076	Other	Conserved	4.49723666666667
bHd02773.1	Hdujardini	0.1626968	69.4554837871391	Other	Conserved	18.2457333333333
bHd02776.1	Hdujardini	0.417321666666667	441.218068706446	Other	Conserved	228.251666666667
bHd02781.1	Hdujardini	0.399732333333333	16.9590120577883	Other	None	8.47496666666667
bHd02815.1	Hdujardini	0.260996	365.614392772588	Other	Conserved	131.985333333333
bHd02818.1	Hdujardini	0.161447666666667	45.5648230429799	Other	None	11.9128166666667
bHd02819.1	Hdujardini	0	37.4459666666667	Other	Conserved	3.74459666666667
bHd02834.1	Hdujardini	0.227790666666667	64.9877472614636	Other	None	21.302377
bHd02853.1	Hdujardini	0.98527	12.0232138853311	Other	Conserved	13.0484333333333
bHd02856.1	Hdujardini	0.0883586666666667	377.745825340308	Other	None	71.1517
bHd02857.1	Hdujardini	24.4898666666667	17.2976402203618	Other	Conserved	425.346666666667
bHd02862.1	Hdujardini	0	24.2156466666667	Other	Conserved	2.42156466666667
bHd02863.1	Hdujardini	10.60758	5.68899788747784	Other	Conserved	60.9154
bHd02888.1	Hdujardini	29.6902	97.2753903408951	Other	None	2897.85333333333
bHd02894.1	Hdujardini	0.111085	198.656465404932	Other	Conserved	41.9334
bHd02896.1	Hdujardini	0.07418	39.7443123971371	Other	Conserved	6.92266433333333
bHd02900.1	Hdujardini	5.24635	19.5967404553262	Other	Conserved	104.771033333333
bHd02908.1	Hdujardini	0.0845186666666667	151.954635122734	Other	None	28.0384666666667
bHd02911.1	Hdujardini	8.52466	8.75582341796662	Other	Conserved	75.516
bHd02914.1	Hdujardini	4.71710666666667	53.6511543582178	Other	Conserved	258.443333333333
bHd02917.1	Hdujardini	62.4257	38.3403411183988	Other	None	2397.25666666667
bHd02919.1	Hdujardini	0	167.223333333333	Other	Conserved	16.7223333333333
bHd02925.1	Hdujardini	42.59628	447.840733041224	CAHS	Conserved	19121.1333333333
bHd02926.1	Hdujardini	16.1068713333333	418.442062455238	Other	Conserved	6781.63666666667
bHd02927.1	Hdujardini	3.71214633333333	667.47437729524	Other	Conserved	2544.51
bHd02928.1	Hdujardini	0	313.484333333333	Other	Conserved	31.3484333333333
bHd02929.1	Hdujardini	0	101.9385	Other	Conserved	10.19385
bHd02930.1	Hdujardini	1.47135478333333	202.899224317971	Other	Conserved	318.826666666667
bHd02931.1	Hdujardini	0	399.079666666667	Other	Conserved	39.9079666666667
bHd02938.1	Hdujardini	4.29873666666667	3.44410251125134	Other	Conserved	15.1497
bHd02959.1	Hdujardini	0.190320333333333	9.31931510136504	Other	Conserved	2.70558666666667
bHd02962.1	Hdujardini	1.267513	8.26780683864309	Other	Conserved	11.3063333333333
bHd02991.1	Hdujardini	0.102509333333333	9.65425461871716	Other	Conserved	1.95507666666667
bHd03031.1	Hdujardini	0	112.670866666667	Other	Conserved	11.2670866666667
bHd03045.2	Hdujardini	0.2173624232687	20.7960348047006	Other	Conserved	6.59988
bHd03047.1	Hdujardini	1.80488433333333	10.1271993242634	Other	Conserved	19.2911433333333
bHd03079.1	Hdujardini	0.0792013333333333	14.9986421231985	Other	Conserved	2.68777666666667
bHd03094.1	Hdujardini	4.26355333333333	16.5458502474283	Other	None	72.1987
bHd03098.1	Hdujardini	3.53482	6.64686742855676	Other	Conserved	24.1601666666667
bHd03120.1	Hdujardini	0	66.5542	Other	Conserved	6.65542
bHd03125.1	Hdujardini	0.18924	64.1408518877057	Other	Conserved	18.5521
bHd03132.1	Hdujardini	0.44119	9.93319659762129	Other	None	5.37574666666667
bHd03166.1	Hdujardini	1.37347333333333	1148.13616805643	Other	None	1691.74802666667
bHd03167.1	Hdujardini	0.665511	857.097198254935	Other	None	656.117333333333
bHd03179.1	Hdujardini	7.76514666666667	3.434286455349	Other	Conserved	27.0111666666667
bHd03187.1	Hdujardini	0.037611	51.4697710696577	Other	None	7.08280666666667
bHd03212.1	Hdujardini	0.140420333333333	9.03390034952673	Other	Conserved	2.17193333333333
bHd03221.1	Hdujardini	2.27602633333333	5.56093724550471	Other	None	13.2129333333333
bHd03224.1	Hdujardini	1.12805333333333	27.5124858855207	Other	Conserved	33.7868
bHd03294.1	Hdujardini	0.0449486666666667	283.769426417628	Other	None	41.132
bHd03295.1	Hdujardini	0.080429	45.5067644336553	Other	None	8.21074
bHd03307.1	Hdujardini	0.0803246666666667	18.6858148450757	Other	Conserved	3.36951333333333
bHd03315.1	Hdujardini	0	25.1020666666667	Other	Conserved	2.51020666666667
bHd03350.1	Hdujardini	0	20.625	Other	None	2.0625
bHd03353.1	Hdujardini	0.166432666666667	27.6899604402864	Other	None	7.37751
bHd03398.1	Hdujardini	0.237670666666667	7.48098739205459	Other	Conserved	2.52611
bHd03418.1	Hdujardini	0	116.1256	Other	Conserved	11.61256
bHd03424.1	Hdujardini	3.94228066666667	79.8490654038372	Other	None	322.772333333333
bHd03425.1	Hdujardini	2.28441666666667	8.47473526019641	Other	Conserved	20.2073
bHd03432.1	Hdujardini	0.420266666666667	15.5672027165556	Other	Conserved	8.09909666666667
bHd03448.1	Hdujardini	0.497461666666667	7.4772216906524	Other	Conserved	4.46735333333333
bHd03473.1	Hdujardini	5.46488	4.04321386984086	Other	Conserved	22.5
bHd03530.1	Hdujardini	0	30.1247	Other	Conserved	3.01247
bHd03567.1	Hdujardini	3.67379666666667	54.9378654034531	Other	None	207.324333333333
bHd03568.1	Hdujardini	0.225437	82.1953250552334	Other	None	26.7494
bHd03569.1	Hdujardini	80.7289	56.8727686920561	Other	None	4596.96333333333
bHd03600.1	Hdujardini	7.65615333333333	5.0617101432583	Other	Conserved	39.2594
bHd03609.1	Hdujardini	0	32.1000333333333	Other	None	3.21000333333333
bHd03610.1	Hdujardini	0	35.6545333333333	Other	Conserved	3.56545333333333
bHd03612.1	Hdujardini	87.6846333333333	99.9393211947877	Other	None	8773.13666666667
bHd03613.1	Hdujardini	0	32.6316666666667	Other	None	3.26316666666667
bHd03617.1	Hdujardini	0	64.0300666666667	Other	Conserved	6.40300666666667
bHd03630.1	Hdujardini	9.70749	374.689480522879	Other	None	3674.76333333333
bHd03644.1	Hdujardini	0.096294	40.7480615810977	Other	Conserved	7.9986
bHd03650.1	Hdujardini	3.52574	19.4820459639503	Other	None	70.6368333333333
bHd03670.1	Hdujardini	1.53004866666667	14.9859329353357	Other	None	24.4278
bHd03671.1	Hdujardini	1.806612	97.719410136934	Other	None	186.313
bHd03695.1	Hdujardini	0.263891333333333	5.81493193022825	Other	Conserved	2.11600333333333
bHd03718.1	Hdujardini	0	25.7934333333333	Other	Conserved	2.57934333333333
bHd03719.1	Hdujardini	0.654948333333333	18.4073965326546	Other	Conserved	13.8966333333333
bHd03729.1	Hdujardini	3.75317	274.630499043645	Other	None	1058.198
bHd03732.1	Hdujardini	0	56.1905266666667	Other	None	5.61905266666667
bHd03775.1	Hdujardini	1.14312833333333	12.6807503113784	Other	None	15.7638
bHd03780.1	Hdujardini	0.285251	45.3199005323802	Other	Conserved	17.459537
bHd03831.1	Hdujardini	7.6632	5.20404386507282	Other	Conserved	40.4000333333333
bHd03838.1	Hdujardini	2.93285	9.6806853839348	Other	Conserved	29.3600666666667
bHd03841.1	Hdujardini	0.0781743333333333	53.1150034703839	Other	None	9.46373033333333
bHd03883.1	Hdujardini	0.117216666666667	12.9371134811632	Other	Conserved	2.81015666666667
bHd03908.1	Hdujardini	0.101412333333333	151.402843586209	Other	Conserved	30.4944
bHd03930.1	Hdujardini	3.83430666666667	67.553961223155	Other	Conserved	265.778
bHd03933.1	Hdujardini	3.15926	9.68245348126057	Other	Conserved	31.5576333333333
bHd03935.1	Hdujardini	0	40.5294633333333	Other	None	4.05294633333333
